path	node	rank
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae	Thermococcaceae	family
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Palaeococcus	Palaeococcus	genus
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus	Pyrococcus	genus
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus	Thermococcus	genus
Archaea;Hadarchaeota	Hadarchaeota	phylum
Archaea;Hadarchaeota;Hadarchaeia	Hadarchaeia	class
Archaea;Hadarchaeota;Hadarchaeia;Hadarchaeales	Hadarchaeales	family
Archaea;Halobacterota	Halobacterota	phylum
Archaea;Halobacterota;ANME-1	ANME-1	class
Archaea;Halobacterota;ANME-1;ANME-1a	ANME-1a	order
Archaea;Halobacterota;ANME-1;ANME-1b	ANME-1b	order
Archaea;Halobacterota;Archaeoglobi	Archaeoglobi	class
Archaea;Halobacterota;Archaeoglobi;Archaeoglobales	Archaeoglobales	order
Archaea;Halobacterota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae	Archaeoglobaceae	family
Archaea;Halobacterota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus	Archaeoglobus	genus
Archaea;Halobacterota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Ferroglobus	Ferroglobus	genus
Archaea;Halobacterota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Geoglobus	Geoglobus	genus
Archaea;Halobacterota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;JdFR-20	JdFR-20	genus
Archaea;Halobacterota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;uncultured	uncultured	genus
Archaea;Halobacterota;Halobacteria	Halobacteria	class
Archaea;Halobacterota;Halobacteria;Halobacterales	Halobacterales	order
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloadaptaceae	Haloadaptaceae	family
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus	Haladaptatus	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae	Halobacteriaceae	family
Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;Halanaeroarchaeum	Halanaeroarchaeum	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;Halarchaeum	Halarchaeum	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;Halobacterium	Halobacterium	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;Halocalculus	Halocalculus	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;Halodesulfurarchaeum	Halodesulfurarchaeum	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;Salarchaeum	Salarchaeum	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;uncultured	uncultured	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halococcaceae	Halococcaceae	family
Archaea;Halobacterota;Halobacteria;Halobacterales;Halococcaceae;Halalkalicoccus	Halalkalicoccus	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halococcaceae;Halococcus	Halococcus	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halococcaceae;Halostella	Halostella	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halococcaceae;uncultured	uncultured	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae	Haloferacaceae	family
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;A07HB70	A07HB70	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Haloarchaeobius	Haloarchaeobius	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum	Halobaculum	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halobellus	Halobellus	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halobiforma	Halobiforma	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Haloferax	Haloferax	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halogeometricum	Halogeometricum	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halogranum	Halogranum	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halohasta	Halohasta	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina	Halolamina	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halonotius	Halonotius	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Haloparvum	Haloparvum	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halopelagius	Halopelagius	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halopenitus	Halopenitus	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halopiger	Halopiger	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Haloplanus	Haloplanus	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Haloquadratum	Haloquadratum	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorubellus	Halorubellus	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorubrum	Halorubrum	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorussus	Halorussus	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halostagnicola	Halostagnicola	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Haloterrigena	Haloterrigena	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halovenus	Halovenus	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halovivax	Halovivax	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Natrialba	Natrialba	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Natribaculum	Natribaculum	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Natrinema	Natrinema	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Natronoarchaeum	Natronoarchaeum	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Natronobacterium	Natronobacterium	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Natronococcus	Natronococcus	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Natronolimnobius	Natronolimnobius	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Natronorubrum	Natronorubrum	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Salinarchaeum	Salinarchaeum	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Salinigranum	Salinigranum	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Saliphagus	Saliphagus	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;uncultured	uncultured	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae	Halomicrobiaceae	family
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Candidatus Halobonum	Candidatus Halobonum	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halapricum	Halapricum	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Haloarcula	Haloarcula	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halomarina	Halomarina	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halomicroarcula	Halomicroarcula	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halomicrobium	Halomicrobium	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halorhabdus	Halorhabdus	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halorientalis	Halorientalis	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halosiccatus	Halosiccatus	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halosimplex	Halosimplex	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Natronomonas	Natronomonas	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Salinirubrum	Salinirubrum	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;uncultured	uncultured	genus
Archaea;Halobacterota;Halobacteria;Halobacterales;J07HX5	J07HX5	family
Archaea;Halobacterota;Halobacteria;Halobacterales;uncultured	uncultured	genus
Archaea;Halobacterota;Methanocellia	Methanocellia	class
Archaea;Halobacterota;Methanocellia;Methanocellales	Methanocellales	order
Archaea;Halobacterota;Methanocellia;Methanocellales;Methanocellaceae	Methanocellaceae	family
Archaea;Halobacterota;Methanocellia;Methanocellales;Methanocellaceae;Methanocella	Methanocella	genus
Archaea;Halobacterota;Methanocellia;Methanocellales;Methanocellaceae;Rice Cluster I	Rice Cluster I	genus
Archaea;Halobacterota;Methanocellia;Methanocellales;uncultured	uncultured	genus
Archaea;Halobacterota;Methanomicrobia	Methanomicrobia	class
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales	Methanomicrobiales	order
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae	Methanocorpusculaceae	family
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae;Methanocalculus	Methanocalculus	genus
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae;Methanocorpusculum	Methanocorpusculum	genus
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae	Methanomicrobiaceae	family
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus	Methanoculleus	genus
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis	Methanofollis	genus
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanogenium	Methanogenium	genus
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanolacinia	Methanolacinia	genus
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanomicrobium	Methanomicrobium	genus
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoplanus	Methanoplanus	genus
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;SDB	SDB	genus
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;uncultured	uncultured	genus
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae	Methanoregulaceae	family
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanolinea	Methanolinea	genus
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula	Methanoregula	genus
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanosphaerula	Methanosphaerula	genus
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanospirillaceae	Methanospirillaceae	family
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanospirillaceae;Methanospirillum	Methanospirillum	genus
